RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.50,0.00,251.00
3,2.00,0.00,247.00
4,2.50,0.00,245.00
5,2.50,0.00,247.00
6,2.80,0.00,244.00
7,3.17,0.00,243.00
8,3.57,0.00,240.00
9,4.00,0.00,239.00
10,4.44,0.00,235.00
11,4.44,0.00,118.00
12,4.90,0.00,235.00
13,5.27,0.00,233.00
14,5.67,0.00,232.00
15,6.08,0.00,230.00
16,6.50,0.00,226.00
17,6.93,0.00,222.00
18,7.38,0.00,220.00
19,7.82,0.00,216.00
20,7.82,0.00,108.50
21,7.82,0.00,109.50
22,7.82,0.00,74.00
23,7.82,0.00,56.25
24,8.22,0.00,74.00
25,8.22,0.00,56.50
26,8.58,0.00,74.33
27,8.90,0.00,110.00
28,9.19,0.00,108.50
29,9.50,0.00,216.00
30,9.78,0.00,213.00
31,10.08,0.00,211.00
32,10.40,0.00,208.00
33,10.73,0.00,205.00
34,10.73,0.00,208.00
35,11.04,0.00,204.00
36,11.04,0.00,104.00
37,11.04,0.00,69.67
38,11.04,0.00,53.00
39,11.04,0.00,53.50
40,11.32,0.00,53.00
41,11.62,0.00,52.50
42,11.93,0.00,51.75
43,12.26,0.00,51.25
44,12.26,0.00,41.40
45,12.59,0.00,51.50
46,12.59,0.00,42.00
47,12.59,0.00,42.60
48,12.59,0.00,35.67
49,12.59,0.00,43.40
50,12.82,0.00,42.80
51,13.06,0.00,42.40
52,13.31,0.00,42.00
53,13.58,0.00,41.60
54,13.58,0.00,35.33
55,13.86,0.00,42.20
56,14.13,0.00,52.50
57,14.38,0.00,69.00
58,14.62,0.00,68.00
59,14.88,0.00,66.67
60,14.88,0.00,50.50
61,15.14,0.00,49.75
62,15.42,0.00,66.00
63,15.68,0.00,65.00
64,15.96,0.00,97.00
65,15.96,0.00,65.67
66,16.22,0.00,97.50
67,16.22,0.00,66.00
68,16.47,0.00,64.67
69,16.73,0.00,63.33
70,16.73,0.00,48.25
71,16.73,0.00,39.40
72,17.00,0.00,39.00
73,17.28,0.00,48.50
74,17.55,0.00,63.33
75,17.81,0.00,62.67
76,17.81,0.00,47.75
77,18.08,0.00,62.67
78,18.33,0.00,62.00
79,18.60,0.00,61.00
80,18.60,0.00,46.00
81,18.88,0.00,45.00
82,19.16,0.00,44.00
83,19.45,0.00,43.50
84,19.75,0.00,42.75
85,20.05,0.00,41.75
86,20.36,0.00,41.00
87,20.68,0.00,40.25
88,21.00,0.00,39.50
89,21.33,0.00,38.50
90,21.66,0.00,37.50
91,22.00,0.00,36.75
92,22.34,0.00,48.67
93,22.68,0.00,72.50
94,23.00,0.00,71.00
95,23.00,0.00,48.00
96,23.00,0.00,36.25
97,23.33,0.00,35.25
98,23.66,0.00,34.50
99,23.66,0.00,28.20
100,24.00,0.00,27.40
101,24.34,0.00,33.75
102,24.68,0.00,32.75
103,24.68,0.00,26.80
104,25.01,0.00,32.75
105,25.34,0.00,32.25
106,25.68,0.00,31.50
107,25.68,0.00,25.60
108,26.01,0.00,25.00
109,26.35,0.00,24.40
110,26.70,0.00,30.00
111,27.04,0.00,29.00
112,27.38,0.00,28.50
113,27.72,0.00,27.50
114,28.07,0.00,27.00
115,28.42,0.00,26.50
116,28.78,0.00,25.75
117,29.14,0.00,25.25
118,29.14,0.00,20.80
119,29.14,0.00,18.00
120,29.50,0.00,21.00
121,29.85,0.00,20.40
122,30.21,0.00,19.60
123,30.21,0.00,16.83
124,30.21,0.00,14.71
125,30.21,0.00,13.38
126,30.57,0.00,15.14
127,30.57,0.00,15.57
128,30.91,0.00,17.83
129,30.91,0.00,15.86
130,30.91,0.00,14.00
131,31.25,0.00,13.75
132,31.59,0.00,15.14
133,31.92,0.00,14.71
134,32.25,0.00,14.29
135,32.25,0.00,14.86
136,32.25,0.00,15.14
137,32.25,0.00,13.75
138,32.57,0.00,13.50
139,32.57,0.00,12.22
140,32.89,0.00,13.25
141,33.20,0.00,14.86
142,33.51,0.00,14.57
143,33.82,0.00,16.50
144,34.13,0.00,15.83
145,34.44,0.00,15.50
146,34.75,0.00,15.17
147,35.07,0.00,14.50
148,35.07,0.00,12.86
149,35.07,0.00,11.62
150,35.07,0.00,12.12
151,35.38,0.00,11.88
152,35.69,0.00,11.62
153,36.01,0.00,11.38
154,36.33,0.00,12.57
155,36.65,0.00,12.29
156,36.96,0.00,11.86
157,37.29,0.00,11.43
158,37.61,0.00,11.14
159,37.94,0.00,10.86
160,38.27,0.00,10.29
161,38.60,0.00,9.71
162,38.94,0.00,9.43
163,39.28,0.00,9.00
164,39.62,0.00,8.57
165,39.62,0.00,7.75
166,39.97,0.00,8.57
167,40.31,0.00,8.29
168,40.65,0.00,9.50
169,40.98,0.00,9.17
170,41.32,0.00,8.67
171,41.66,0.00,8.17
172,42.01,0.00,7.67
173,42.35,0.00,7.33
174,42.70,0.00,6.67
175,43.05,0.00,6.00
176,43.41,0.00,5.33
177,43.76,0.00,5.00
178,43.76,0.00,4.71
179,44.12,0.00,4.43
180,44.48,0.00,5.00
181,44.84,0.00,4.33
182,45.19,0.00,3.83
183,45.55,0.00,3.33
184,45.55,0.00,3.29
185,45.91,0.00,2.71
186,46.28,0.00,2.67
187,46.63,0.00,2.17
188,46.63,0.00,2.43
189,46.63,0.00,2.50
190,46.99,0.00,2.25
191,47.35,0.00,2.00
192,47.71,0.00,1.57
193,48.07,0.00,1.29
194,48.43,0.00,1.00
195,48.43,0.00,1.25
196,48.79,0.00,1.00
197,48.46,0.68,1.00
198,48.13,1.36,1.00
199,48.13,1.36,1.22
200,47.80,2.03,1.22
201,48.17,2.01,1.00
202,47.85,2.67,1.00
203,47.53,3.31,1.00
204,47.22,3.95,1.00
205,47.22,3.95,1.11
206,46.91,4.58,1.11
207,46.91,4.58,1.30
208,47.27,4.55,1.22
209,46.96,5.16,1.22
210,47.31,5.13,1.00
211,47.31,5.13,1.00
212,47.01,5.73,1.00
213,46.72,6.33,1.00
214,46.42,6.92,1.00
215,46.42,6.92,1.30
216,46.77,6.88,1.33
217,47.12,6.83,1.00
218,47.12,6.83,1.10
219,46.83,7.41,1.10
220,46.83,7.41,1.18
221,47.18,7.36,1.20
222,47.53,7.32,1.11
223,47.87,7.27,1.00
224,47.87,7.27,1.00
225,47.87,7.27,1.11
226,47.58,7.83,1.11
227,47.92,7.78,1.12
228,47.64,8.33,1.12
229,47.97,8.28,1.00
230,48.30,8.24,1.00
231,48.02,8.77,1.00
232,47.74,9.30,1.00
233,47.46,9.83,1.00
234,47.46,9.83,1.00
235,47.19,10.34,1.00
236,47.51,10.29,1.00
237,47.24,10.80,1.00
238,47.24,10.80,1.29
239,46.98,11.30,1.29
240,47.30,11.24,1.00
241,47.30,11.24,1.00
242,47.03,11.73,1.00
243,46.77,12.22,1.00
244,46.51,12.71,1.00
245,46.51,12.71,1.29
246,46.51,12.71,1.50
247,46.83,12.64,1.29
248,47.14,12.57,1.33
249,46.89,13.04,1.33
250,46.89,13.04,1.29
251,46.89,13.04,1.62
252,47.19,12.97,1.71
253,47.50,12.90,1.43
254,47.50,12.90,1.71
255,47.80,12.83,1.50
256,47.80,12.83,1.43
257,48.10,12.77,1.50
258,48.40,12.70,1.00
259,48.40,12.70,1.60
260,48.68,12.63,1.75
261,48.97,12.57,1.00
262,48.71,13.02,1.00
263,48.46,13.47,1.00
264,48.46,13.47,1.50
265,48.46,13.47,2.00
266,48.74,13.40,1.50
267,49.02,13.33,1.00
268,48.77,13.78,1.00
269,48.52,14.21,1.00
270,48.28,14.65,1.00
271,48.04,15.08,1.00
272,48.31,15.00,1.00
273,48.59,14.93,1.00
274,48.35,15.35,1.00
275,48.63,15.27,1.00
276,48.63,15.27,2.00
277,48.63,15.27,2.00
278,48.90,15.20,1.00
279,48.66,15.61,1.00
280,48.42,16.02,1.00
281,48.19,16.43,1.00
282,48.19,16.43,1.00
283,47.96,16.83,1.00
284,47.73,17.22,1.00
285,47.73,17.22,2.00
286,48.00,17.14,1.00
287,47.77,17.54,1.00
288,48.03,17.45,1.00
289,47.81,17.84,1.00
290,47.58,18.22,1.00
291,47.36,18.60,1.00
292,47.62,18.52,0.00
293,47.62,18.52,1.00
294,47.88,18.43,0.00
295,47.67,18.81,0.00
296,47.45,19.18,0.00
297,47.23,19.55,0.00
298,47.02,19.91,0.00
299,46.81,20.27,0.00
300,46.60,20.63,0.00
301,46.39,20.98,0.00
302,46.18,21.33,0.00
303,46.18,21.33,0.00
304,45.98,21.68,0.00
305,45.78,22.03,0.00
306,45.57,22.37,0.00
307,45.38,22.71,0.00
308,45.18,23.04,0.00
309,44.98,23.38,0.00
310,44.79,23.71,0.00
311,44.60,24.03,0.00
