RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.00,0.00,256.00
3,1.00,0.00,254.00
4,1.33,0.00,252.00
5,1.75,0.00,250.00
6,2.20,0.00,247.00
7,2.67,0.00,244.00
8,2.67,0.00,247.00
9,3.00,0.00,245.00
10,3.38,0.00,242.00
11,3.38,0.00,122.00
12,3.78,0.00,242.00
13,4.10,0.00,239.00
14,4.45,0.00,235.00
15,4.83,0.00,232.00
16,4.83,0.00,235.00
17,5.15,0.00,232.00
18,5.50,0.00,231.00
19,5.87,0.00,228.00
20,5.87,0.00,115.00
21,6.25,0.00,113.50
22,6.25,0.00,76.67
23,6.25,0.00,57.75
24,6.25,0.00,58.50
25,6.59,0.00,58.00
26,6.94,0.00,57.50
27,7.32,0.00,57.00
28,7.32,0.00,57.75
29,7.32,0.00,58.25
30,7.32,0.00,47.00
31,7.32,0.00,59.75
32,7.32,0.00,60.25
33,7.32,0.00,60.75
34,7.32,0.00,81.67
35,7.30,0.00,81.33
36,7.33,0.00,80.33
37,7.41,0.00,79.33
38,7.52,0.00,78.00
39,7.52,0.00,79.00
40,7.62,0.00,78.33
41,7.62,0.00,79.33
42,7.72,0.00,117.50
43,7.72,0.00,119.50
44,7.72,0.00,120.50
45,7.73,0.00,119.00
46,7.73,0.00,119.50
47,7.74,0.00,118.00
48,7.79,0.00,117.00
49,7.86,0.00,115.50
50,7.86,0.00,117.00
51,7.93,0.00,115.50
52,8.03,0.00,113.50
53,8.03,0.00,76.67
54,8.16,0.00,113.50
55,8.16,0.00,76.67
56,8.27,0.00,113.50
57,8.38,0.00,112.00
58,8.51,0.00,110.00
59,8.51,0.00,111.50
60,8.51,0.00,75.33
61,8.64,0.00,75.00
62,8.78,0.00,74.67
63,8.95,0.00,73.67
64,9.13,0.00,109.50
65,9.30,0.00,107.50
66,9.30,0.00,72.67
67,9.30,0.00,55.25
68,9.30,0.00,44.80
69,9.30,0.00,45.20
70,9.46,0.00,44.80
71,9.46,0.00,37.83
72,9.46,0.00,38.00
73,9.46,0.00,45.80
74,9.46,0.00,57.75
75,9.52,0.00,57.25
76,9.60,0.00,56.50
77,9.70,0.00,55.50
78,9.82,0.00,72.67
79,9.93,0.00,72.00
80,10.06,0.00,107.50
81,10.06,0.00,73.00
82,10.06,0.00,73.67
83,10.17,0.00,73.33
84,10.17,0.00,55.25
85,10.17,0.00,44.80
86,10.29,0.00,55.50
87,10.40,0.00,72.67
88,10.40,0.00,55.25
89,10.51,0.00,54.75
90,10.51,0.00,44.60
91,10.63,0.00,55.50
92,10.75,0.00,72.67
93,10.87,0.00,107.50
94,10.87,0.00,72.33
95,10.87,0.00,73.67
96,10.87,0.00,74.33
97,10.95,0.00,73.00
98,11.04,0.00,108.00
99,11.12,0.00,214.00
100,11.21,0.00,210.00
101,11.31,0.00,208.00
102,11.31,0.00,105.00
103,11.42,0.00,104.50
104,11.54,0.00,102.50
105,11.68,0.00,100.50
106,11.83,0.00,99.00
107,11.98,0.00,97.50
108,12.15,0.00,95.50
109,12.33,0.00,94.50
110,12.33,0.00,64.33
111,12.52,0.00,94.50
112,12.52,0.00,64.00
113,12.71,0.00,95.50
114,12.88,0.00,94.50
115,13.07,0.00,92.50
116,13.07,0.00,62.33
117,13.07,0.00,47.50
118,13.27,0.00,62.67
119,13.27,0.00,47.25
120,13.27,0.00,38.00
121,13.46,0.00,47.25
122,13.46,0.00,48.25
123,13.63,0.00,47.75
124,13.81,0.00,46.75
125,13.81,0.00,37.60
126,13.81,0.00,38.00
127,13.99,0.00,37.20
128,14.17,0.00,36.40
129,14.17,0.00,37.00
130,14.17,0.00,31.50
131,14.17,0.00,27.29
132,14.35,0.00,31.50
133,14.35,0.00,27.43
134,14.35,0.00,24.50
135,14.35,0.00,25.00
136,14.51,0.00,28.00
137,14.67,0.00,27.71
138,14.67,0.00,28.00
139,14.82,0.00,27.71
140,14.82,0.00,28.29
141,14.82,0.00,25.25
142,14.98,0.00,25.00
143,15.13,0.00,28.29
144,15.13,0.00,28.43
145,15.13,0.00,25.25
146,15.13,0.00,29.43
147,15.13,0.00,29.71
148,15.13,0.00,30.29
149,15.23,0.00,35.00
150,15.32,0.00,34.67
151,15.32,0.00,35.17
152,15.41,0.00,34.67
