RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.50,0.00,251.00
3,2.00,0.00,247.00
4,2.50,0.00,245.00
5,2.50,0.00,247.00
6,2.80,0.00,244.00
7,3.17,0.00,243.00
8,3.57,0.00,240.00
9,4.00,0.00,239.00
10,4.44,0.00,235.00
11,4.44,0.00,118.00
12,4.70,0.00,235.00
13,5.09,0.00,233.00
14,5.50,0.00,232.00
15,5.92,0.00,230.00
16,6.36,0.00,226.00
17,6.80,0.00,222.00
18,7.25,0.00,220.00
19,7.71,0.00,216.00
20,7.71,0.00,108.50
21,7.71,0.00,109.50
22,7.71,0.00,74.00
23,7.71,0.00,56.25
24,7.39,0.00,74.00
25,7.39,0.00,56.50
26,7.32,0.00,74.33
27,7.40,0.00,110.00
28,7.57,0.00,108.50
29,7.77,0.00,216.00
30,8.13,0.00,213.00
31,8.50,0.00,211.00
32,8.88,0.00,208.00
33,9.27,0.00,205.00
34,9.27,0.00,208.00
35,9.63,0.00,204.00
36,9.63,0.00,104.00
37,9.63,0.00,69.67
38,9.63,0.00,53.00
39,9.63,0.00,53.50
40,9.75,0.00,53.00
41,9.90,0.00,52.50
42,10.13,0.00,69.00
43,10.29,0.00,102.50
44,10.29,0.00,69.00
45,10.19,0.00,103.00
46,10.19,0.00,70.00
47,10.19,0.00,71.00
48,10.19,0.00,53.50
49,10.19,0.00,72.33
50,9.94,0.00,71.33
51,9.74,0.00,70.67
52,9.57,0.00,105.00
53,9.61,0.00,104.00
54,9.61,0.00,106.00
55,9.68,0.00,105.50
56,9.76,0.00,105.00
57,10.08,0.00,103.50
58,10.40,0.00,102.00
59,10.73,0.00,100.00
60,10.73,0.00,67.33
61,11.07,0.00,66.33
62,10.84,0.00,66.00
63,11.20,0.00,65.00
64,11.00,0.00,97.00
65,11.00,0.00,65.67
66,10.93,0.00,65.00
67,10.93,0.00,49.50
68,11.32,0.00,48.50
69,11.71,0.00,47.50
70,11.71,0.00,38.60
71,11.71,0.00,32.83
72,11.59,0.00,32.50
73,11.50,0.00,38.80
74,11.86,0.00,47.50
75,11.96,0.00,62.67
76,11.96,0.00,47.75
77,12.23,0.00,62.67
78,12.54,0.00,62.00
79,12.91,0.00,61.00
80,12.91,0.00,46.00
81,13.29,0.00,45.00
82,13.67,0.00,44.00
83,14.05,0.00,43.50
84,14.44,0.00,42.75
85,14.83,0.00,41.75
86,15.23,0.00,41.00
87,15.63,0.00,40.25
88,16.03,0.00,39.50
89,16.44,0.00,38.50
90,16.85,0.00,37.50
91,17.26,0.00,36.75
92,17.03,0.00,48.67
93,16.93,0.00,72.50
94,17.33,0.00,71.00
95,17.33,0.00,48.00
96,17.33,0.00,36.25
97,17.74,0.00,35.25
98,18.15,0.00,34.50
99,18.15,0.00,28.20
100,18.57,0.00,27.40
101,18.67,0.00,27.00
102,19.09,0.00,26.20
103,19.09,0.00,22.33
104,19.23,0.00,26.20
105,19.46,0.00,32.25
106,19.87,0.00,31.50
107,19.87,0.00,32.00
108,19.95,0.00,41.67
109,20.34,0.00,40.67
110,20.74,0.00,40.00
111,21.14,0.00,38.67
112,21.54,0.00,38.00
113,21.94,0.00,36.67
114,22.35,0.00,36.00
115,22.75,0.00,35.33
116,23.16,0.00,34.33
117,23.57,0.00,33.67
118,23.57,0.00,26.00
119,23.57,0.00,21.60
120,23.60,0.00,26.25
121,23.93,0.00,25.50
122,24.34,0.00,24.50
123,24.34,0.00,20.20
124,24.34,0.00,17.17
125,24.34,0.00,15.29
126,24.13,0.00,15.14
127,24.13,0.00,15.57
128,24.24,0.00,15.29
129,24.24,0.00,13.88
130,24.24,0.00,12.44
131,24.49,0.00,12.22
132,24.78,0.00,13.25
133,25.11,0.00,12.88
134,25.52,0.00,12.50
135,25.52,0.00,13.00
136,25.52,0.00,13.25
137,25.52,0.00,12.22
138,25.55,0.00,12.00
139,25.55,0.00,11.00
140,25.61,0.00,10.60
141,25.65,0.00,11.56
142,25.88,0.00,11.33
143,26.29,0.00,11.00
144,26.70,0.00,10.56
145,26.92,0.00,11.62
146,27.25,0.00,13.00
147,27.65,0.00,12.43
148,27.65,0.00,11.25
149,27.65,0.00,10.33
150,27.65,0.00,10.78
151,27.52,0.00,10.56
152,27.61,0.00,10.33
153,27.70,0.00,10.11
154,27.96,0.00,11.00
155,28.36,0.00,10.75
156,28.77,0.00,10.38
157,29.17,0.00,10.00
158,29.58,0.00,9.75
159,29.98,0.00,9.50
160,30.39,0.00,9.00
161,30.80,0.00,8.50
162,31.21,0.00,8.25
163,31.63,0.00,7.88
164,32.04,0.00,7.50
165,32.04,0.00,6.89
166,31.95,0.00,7.50
167,32.36,0.00,7.25
168,32.15,0.00,8.14
169,32.56,0.00,7.86
170,32.98,0.00,7.43
171,33.39,0.00,7.00
172,33.81,0.00,6.57
173,34.23,0.00,6.29
174,34.65,0.00,5.71
175,35.07,0.00,5.14
176,35.49,0.00,4.57
177,35.92,0.00,4.29
178,35.92,0.00,4.12
179,36.20,0.00,3.88
180,35.98,0.00,4.29
181,36.41,0.00,3.71
182,36.84,0.00,3.29
183,37.26,0.00,2.86
184,37.26,0.00,2.88
185,37.69,0.00,2.38
186,38.01,0.00,2.29
187,38.44,0.00,1.86
188,38.44,0.00,2.43
189,38.44,0.00,2.50
190,38.19,0.00,2.25
191,38.16,0.00,1.75
192,38.58,0.00,1.38
193,39.01,0.00,1.12
194,39.44,0.00,1.00
195,39.44,0.00,1.25
196,39.66,0.00,1.00
197,39.38,0.68,1.00
198,39.12,1.36,1.00
199,39.12,1.36,1.22
200,38.85,2.03,1.22
201,39.19,2.01,1.00
202,38.93,2.67,1.00
203,38.67,3.31,1.00
204,38.41,3.95,1.00
205,38.41,3.95,1.11
206,38.16,4.58,1.11
207,38.16,4.58,1.30
208,38.35,4.55,1.22
209,38.10,5.16,1.22
210,38.48,5.13,1.00
211,38.48,5.13,1.00
212,38.24,5.73,1.00
213,37.99,6.33,1.00
214,37.75,6.92,1.00
215,37.75,6.92,1.44
216,37.54,6.88,1.50
217,37.56,6.83,1.12
218,37.56,6.83,1.22
219,37.33,7.41,1.22
220,37.33,7.41,1.30
221,37.13,7.36,1.20
222,37.09,7.32,1.11
223,37.12,7.27,1.00
224,37.12,7.27,1.00
225,37.12,7.27,1.11
226,36.90,7.83,1.11
227,36.71,7.78,1.12
228,36.49,8.33,1.12
229,36.75,8.28,1.00
230,36.61,8.24,1.00
231,36.40,8.77,1.00
232,36.19,9.30,1.00
233,35.98,9.83,1.00
234,35.98,9.83,1.00
235,35.77,10.34,1.00
236,35.63,10.29,1.00
237,35.43,10.80,1.00
238,35.43,10.80,1.29
239,35.23,11.30,1.29
240,35.28,11.24,1.00
241,35.28,11.24,1.00
242,35.08,11.73,1.00
243,34.88,12.22,1.00
244,34.69,12.71,1.00
245,34.69,12.71,1.29
246,34.69,12.71,1.50
247,34.78,12.64,1.29
248,34.68,12.57,1.33
249,34.49,13.04,1.33
250,34.49,13.04,1.29
251,34.49,13.04,1.62
252,34.40,12.97,1.71
253,34.35,12.90,1.43
254,34.35,12.90,1.50
255,34.65,12.83,1.29
256,34.65,12.83,1.25
257,34.51,12.77,1.29
258,34.32,13.23,1.29
259,34.32,13.23,1.50
260,34.28,13.16,1.38
261,34.10,13.61,1.38
262,34.09,13.54,1.14
263,33.91,13.99,1.14
264,33.91,13.99,1.38
265,33.91,13.99,1.67
266,34.08,13.92,1.38
267,34.41,13.85,1.12
268,34.23,14.29,1.12
269,34.06,14.72,1.12
270,34.43,14.65,1.00
271,34.26,15.08,1.00
272,34.22,15.00,1.00
273,34.24,14.93,1.00
274,34.07,15.35,1.00
275,34.22,15.27,1.00
276,34.22,15.27,1.40
277,34.22,15.27,1.40
278,34.50,15.20,1.00
279,34.33,15.61,1.00
280,34.17,16.02,1.00
281,34.00,16.43,1.00
282,34.00,16.43,1.00
283,33.84,16.83,1.00
284,33.67,17.22,1.00
285,33.67,17.22,1.50
286,33.88,17.14,1.00
287,33.72,17.54,1.00
288,33.58,17.45,1.00
289,33.43,17.84,1.00
290,33.27,18.22,1.00
291,33.12,18.60,1.00
292,33.31,18.52,1.00
293,33.31,18.52,1.00
294,33.19,18.43,1.00
295,33.04,18.81,1.00
296,32.89,19.18,1.00
297,33.10,19.09,1.00
298,32.95,19.46,1.00
299,32.80,19.82,1.00
300,32.65,20.18,1.00
301,32.50,20.54,1.00
302,32.80,20.44,1.00
303,32.80,20.44,1.00
304,33.11,20.35,0.00
305,32.96,20.70,0.00
306,32.82,21.05,0.00
307,32.68,21.40,0.00
308,32.53,21.74,0.00
309,32.39,22.08,0.00
310,32.25,22.41,0.00
311,32.12,22.75,0.00
