RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.00,0.00,256.00
3,1.00,0.00,254.00
4,1.33,0.00,252.00
5,1.75,0.00,250.00
6,2.20,0.00,247.00
7,2.67,0.00,244.00
8,2.67,0.00,247.00
9,3.00,0.00,245.00
10,3.38,0.00,242.00
11,3.38,0.00,122.00
12,3.56,0.00,242.00
13,3.90,0.00,239.00
14,4.27,0.00,235.00
15,4.67,0.00,232.00
16,4.67,0.00,235.00
17,5.00,0.00,232.00
18,5.36,0.00,231.00
19,5.73,0.00,228.00
20,5.73,0.00,115.00
21,6.12,0.00,113.50
22,6.12,0.00,76.67
23,6.12,0.00,57.75
24,6.12,0.00,58.50
25,6.00,0.00,58.00
26,5.94,0.00,57.50
27,6.05,0.00,57.00
28,6.05,0.00,57.75
29,6.05,0.00,58.25
30,6.05,0.00,47.00
31,6.05,0.00,59.75
32,6.05,0.00,60.25
33,6.05,0.00,60.75
34,6.05,0.00,61.25
35,5.80,0.00,61.00
36,5.62,0.00,60.25
37,5.59,0.00,79.33
38,5.65,0.00,78.00
39,5.65,0.00,79.00
40,5.54,0.00,117.50
41,5.54,0.00,79.33
42,5.56,0.00,117.50
43,5.56,0.00,119.50
44,5.56,0.00,80.33
45,5.62,0.00,79.33
46,5.62,0.00,59.75
47,5.70,0.00,59.00
48,5.64,0.00,78.00
49,5.76,0.00,77.00
50,5.76,0.00,78.00
51,5.60,0.00,77.00
52,5.74,0.00,75.67
53,5.74,0.00,76.67
54,5.59,0.00,75.67
55,5.59,0.00,57.50
56,5.61,0.00,75.67
57,5.82,0.00,74.67
58,6.06,0.00,73.33
59,6.06,0.00,55.75
60,6.06,0.00,56.50
61,5.94,0.00,75.00
62,5.92,0.00,74.67
63,6.08,0.00,73.67
64,6.08,0.00,109.50
65,6.33,0.00,107.50
66,6.33,0.00,72.67
67,6.33,0.00,55.25
68,6.33,0.00,44.80
69,6.33,0.00,37.67
70,6.20,0.00,37.33
71,6.20,0.00,45.40
72,6.20,0.00,57.00
73,6.20,0.00,45.80
74,6.20,0.00,46.20
75,6.07,0.00,45.80
76,5.98,0.00,45.20
77,6.00,0.00,44.40
78,6.04,0.00,43.60
79,6.28,0.00,43.20
80,6.21,0.00,53.75
81,6.21,0.00,43.80
82,6.21,0.00,36.83
83,6.10,0.00,36.67
84,6.10,0.00,31.57
85,6.10,0.00,32.00
86,6.14,0.00,31.71
87,6.32,0.00,36.33
88,6.32,0.00,44.20
89,6.24,0.00,43.80
90,6.24,0.00,37.17
91,6.17,0.00,37.00
92,6.30,0.00,43.60
93,6.54,0.00,43.00
94,6.54,0.00,43.40
95,6.54,0.00,36.83
96,6.54,0.00,44.60
97,6.49,0.00,43.80
98,6.50,0.00,43.20
99,6.67,0.00,42.80
100,6.90,0.00,42.00
101,7.07,0.00,52.00
102,7.07,0.00,42.00
103,7.03,0.00,52.25
104,7.26,0.00,51.25
105,7.50,0.00,50.25
106,7.75,0.00,49.50
107,8.00,0.00,48.75
108,8.26,0.00,47.75
109,8.38,0.00,63.00
110,8.38,0.00,48.25
111,8.48,0.00,63.00
112,8.48,0.00,48.00
113,8.47,0.00,63.67
114,8.62,0.00,63.00
115,8.89,0.00,61.67
116,8.89,0.00,46.75
117,8.89,0.00,38.00
118,8.85,0.00,47.00
119,8.85,0.00,37.80
120,8.85,0.00,31.67
121,8.76,0.00,37.80
122,8.76,0.00,38.60
123,8.96,0.00,38.20
124,9.16,0.00,37.40
125,9.16,0.00,31.33
126,9.16,0.00,31.67
127,9.41,0.00,31.00
128,9.67,0.00,30.33
129,9.67,0.00,30.83
130,9.67,0.00,27.00
131,9.67,0.00,23.88
132,9.57,0.00,23.62
133,9.57,0.00,21.33
134,9.57,0.00,19.60
135,9.57,0.00,20.00
136,9.73,0.00,21.78
137,9.77,0.00,21.56
138,9.77,0.00,21.78
139,9.68,0.00,21.56
140,9.68,0.00,22.00
141,9.68,0.00,20.20
142,9.75,0.00,20.00
143,9.84,0.00,19.80
144,9.84,0.00,18.09
145,9.84,0.00,18.36
146,9.84,0.00,20.60
147,9.84,0.00,23.11
148,9.84,0.00,23.56
149,9.78,0.00,23.33
150,9.74,0.00,23.11
151,9.74,0.00,23.44
152,9.71,0.00,26.00
