RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.50,0.00,251.00
3,2.00,0.00,247.00
4,2.50,0.00,245.00
5,2.50,0.00,247.00
6,2.80,0.00,244.00
7,3.17,0.00,243.00
8,3.57,0.00,240.00
9,4.00,0.00,239.00
10,4.44,0.00,235.00
11,4.44,0.00,118.00
12,4.70,0.00,235.00
13,4.45,0.00,233.00
14,4.92,0.00,232.00
15,5.38,0.00,230.00
16,5.86,0.00,226.00
17,6.33,0.00,222.00
18,6.81,0.00,220.00
19,7.29,0.00,216.00
20,7.29,0.00,108.50
21,7.29,0.00,109.50
22,7.29,0.00,74.00
23,7.29,0.00,56.25
24,7.00,0.00,74.00
25,7.00,0.00,56.50
26,6.84,0.00,74.33
27,6.65,0.00,110.00
28,6.43,0.00,108.50
29,6.32,0.00,108.00
30,6.78,0.00,106.50
31,7.25,0.00,105.50
32,7.72,0.00,104.00
33,8.19,0.00,102.50
34,8.19,0.00,104.00
35,8.63,0.00,102.00
36,8.63,0.00,104.00
37,8.63,0.00,69.67
38,8.63,0.00,53.00
39,8.63,0.00,53.50
40,8.75,0.00,53.00
41,8.55,0.00,52.50
42,8.40,0.00,51.75
43,8.55,0.00,51.25
44,8.55,0.00,41.40
45,8.41,0.00,51.50
46,8.41,0.00,42.00
47,8.41,0.00,42.60
48,8.41,0.00,35.67
49,8.41,0.00,36.17
50,8.30,0.00,35.67
51,8.12,0.00,35.33
52,8.09,0.00,35.00
53,7.94,0.00,34.67
54,7.94,0.00,30.29
55,7.78,0.00,35.17
56,7.71,0.00,35.00
57,7.59,0.00,34.50
58,7.47,0.00,34.00
59,7.88,0.00,33.33
60,7.88,0.00,28.86
61,7.98,0.00,33.17
62,7.88,0.00,39.60
63,7.89,0.00,48.75
64,7.82,0.00,48.50
65,7.82,0.00,49.25
66,7.67,0.00,65.00
67,7.67,0.00,66.00
68,7.55,0.00,64.67
69,7.46,0.00,95.00
70,7.46,0.00,96.50
71,7.46,0.00,98.50
72,7.76,0.00,97.50
73,7.66,0.00,97.00
74,8.00,0.00,95.00
75,7.92,0.00,94.00
76,7.92,0.00,63.67
77,8.11,0.00,94.00
78,8.11,0.00,93.00
79,8.05,0.00,91.50
80,8.05,0.00,61.33
81,8.39,0.00,60.00
82,8.84,0.00,58.67
83,8.79,0.00,87.00
84,9.14,0.00,85.50
85,9.58,0.00,83.50
86,10.03,0.00,82.00
87,10.48,0.00,80.50
88,10.94,0.00,79.00
89,11.39,0.00,77.00
90,11.85,0.00,75.00
91,12.30,0.00,73.50
92,12.55,0.00,146.00
93,12.57,0.00,145.00
94,13.03,0.00,142.00
95,13.03,0.00,72.00
96,13.03,0.00,48.33
97,13.49,0.00,47.00
98,13.94,0.00,46.00
99,13.94,0.00,35.25
100,14.40,0.00,34.25
101,14.29,0.00,45.00
102,14.66,0.00,43.67
103,14.66,0.00,33.50
104,14.63,0.00,43.67
105,14.59,0.00,43.00
106,14.73,0.00,42.00
107,14.73,0.00,32.00
108,15.19,0.00,31.25
109,15.66,0.00,30.50
110,15.54,0.00,40.00
111,15.93,0.00,38.67
112,16.39,0.00,38.00
113,16.86,0.00,36.67
114,17.32,0.00,36.00
115,17.79,0.00,35.33
116,18.26,0.00,34.33
117,18.72,0.00,33.67
118,18.72,0.00,26.00
119,18.72,0.00,21.60
120,19.09,0.00,26.25
121,18.90,0.00,25.50
122,18.77,0.00,24.50
123,18.77,0.00,20.20
124,18.77,0.00,17.17
125,18.77,0.00,15.29
126,18.59,0.00,17.67
127,18.59,0.00,18.17
128,18.41,0.00,17.83
129,18.41,0.00,15.86
130,18.41,0.00,14.00
131,18.28,0.00,15.71
132,18.46,0.00,17.67
133,18.28,0.00,17.17
134,18.15,0.00,16.67
135,18.15,0.00,14.86
136,18.15,0.00,13.25
137,18.15,0.00,12.22
138,18.04,0.00,12.00
139,18.04,0.00,11.00
140,18.16,0.00,11.78
141,18.01,0.00,11.56
142,18.09,0.00,12.75
143,17.97,0.00,12.38
144,18.45,0.00,11.88
145,18.39,0.00,13.29
146,18.42,0.00,15.17
147,18.57,0.00,14.50
148,18.57,0.00,12.86
149,18.57,0.00,11.62
150,18.57,0.00,10.78
151,18.50,0.00,10.56
152,18.56,0.00,10.33
153,18.55,0.00,10.11
154,18.52,0.00,9.78
155,18.70,0.00,10.75
156,18.85,0.00,10.38
157,19.34,0.00,10.00
158,19.83,0.00,9.75
159,20.32,0.00,9.50
160,20.82,0.00,9.00
161,21.31,0.00,8.50
162,21.80,0.00,8.25
163,22.30,0.00,7.88
164,22.79,0.00,7.50
165,22.79,0.00,6.89
166,22.77,0.00,7.50
167,23.09,0.00,7.25
168,22.95,0.00,8.14
169,23.39,0.00,7.86
170,23.88,0.00,7.43
171,24.37,0.00,7.00
172,24.86,0.00,6.57
173,25.35,0.00,6.29
174,25.84,0.00,5.71
175,26.33,0.00,5.14
176,26.82,0.00,4.57
177,27.31,0.00,4.29
178,27.31,0.00,4.12
179,27.65,0.00,3.88
180,27.59,0.00,3.75
181,28.08,0.00,3.25
182,28.58,0.00,2.88
183,29.07,0.00,2.50
184,29.07,0.00,2.56
185,29.57,0.00,2.11
186,29.95,0.00,2.00
187,29.85,0.00,1.62
188,29.85,0.00,1.89
189,29.85,0.00,2.00
190,29.84,0.00,1.80
191,29.65,0.00,1.56
192,29.92,0.00,1.22
193,30.41,0.00,1.00
194,30.20,0.69,1.00
195,30.20,0.69,1.20
196,30.47,0.69,1.00
197,30.26,1.37,1.00
198,30.05,2.04,1.00
199,30.05,2.04,1.18
200,29.85,2.70,1.18
201,29.75,2.68,1.00
202,29.55,3.33,1.00
203,29.36,3.97,1.00
204,29.16,4.61,1.00
205,29.16,4.61,1.09
206,28.97,5.23,1.09
207,28.97,5.23,1.25
208,28.82,5.19,1.08
209,28.63,5.81,1.08
210,28.90,5.77,1.00
211,28.90,5.77,1.00
212,28.72,6.37,1.00
213,28.54,6.96,1.00
214,28.36,7.55,1.00
215,28.36,7.55,1.25
216,28.19,7.50,1.27
217,28.47,7.45,1.00
218,28.47,7.45,1.08
219,28.29,8.02,1.08
220,28.29,8.02,1.15
221,28.17,7.98,1.17
222,28.12,7.93,1.09
223,28.17,7.88,1.00
224,28.17,7.88,1.00
225,28.17,7.88,1.09
226,28.00,8.43,1.09
227,27.89,8.38,1.10
228,27.72,8.93,1.10
229,27.95,8.88,1.00
230,27.91,8.82,1.00
231,27.74,9.36,1.00
232,27.58,9.88,1.00
233,27.42,10.40,1.00
234,27.42,10.40,1.00
235,27.26,10.92,1.00
236,27.11,10.86,1.00
237,26.96,11.36,1.00
238,26.96,11.36,1.38
239,27.03,11.30,1.00
240,26.88,11.80,1.00
241,26.88,11.80,1.00
242,26.73,12.29,1.00
243,26.58,12.78,1.00
244,26.44,13.26,1.00
245,26.44,13.26,1.25
246,26.44,13.26,1.44
247,26.31,13.19,1.25
248,26.20,13.11,1.29
249,26.05,13.59,1.29
250,26.05,13.59,1.25
251,26.05,13.59,1.56
252,25.92,13.51,1.62
253,25.95,13.44,1.38
254,25.95,13.44,1.38
255,26.00,13.37,1.00
256,26.00,13.37,1.00
257,25.90,13.30,1.00
258,25.77,13.76,1.00
259,25.77,13.76,1.22
260,25.64,13.68,1.25
261,25.51,14.14,1.25
262,25.52,14.06,1.00
263,25.38,14.51,1.00
264,25.38,14.51,1.25
265,25.38,14.51,1.56
266,25.27,14.43,1.25
267,25.32,14.36,1.00
268,25.19,14.80,1.00
269,25.07,15.23,1.00
270,24.94,15.66,1.00
271,24.81,16.08,1.00
272,24.73,16.00,1.00
273,24.62,15.92,1.00
274,24.50,16.34,1.00
275,24.43,16.26,1.00
276,24.43,16.26,1.60
277,24.43,16.26,1.60
278,24.66,16.18,1.00
279,24.54,16.59,1.00
280,24.42,16.99,1.00
281,24.30,17.39,1.00
282,24.30,17.39,1.00
283,24.18,17.79,1.00
284,24.07,18.18,1.00
285,24.07,18.18,1.43
286,24.36,18.10,1.00
287,24.24,18.48,1.00
288,24.14,18.40,1.00
289,24.02,18.78,1.00
290,23.91,19.16,1.00
291,23.80,19.53,1.00
292,23.74,19.44,1.00
293,23.74,19.44,1.00
294,23.67,19.35,1.00
295,23.56,19.72,1.00
296,23.46,20.09,1.00
297,23.43,20.00,1.00
298,23.32,20.36,1.00
299,23.22,20.72,1.00
300,23.11,21.08,1.00
301,23.01,21.43,1.00
302,22.96,21.33,1.00
303,22.96,21.33,1.00
304,22.98,21.24,1.00
305,22.88,21.59,1.00
306,22.78,21.93,1.00
307,22.68,22.27,1.00
308,22.58,22.61,1.00
309,22.48,22.94,1.00
310,22.38,23.28,1.00
311,22.29,23.61,1.00
