RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,253.00
2,1.00,0.00,256.00
3,1.00,0.00,254.00
4,1.00,0.00,256.00
5,1.00,0.00,253.00
6,1.25,0.00,252.00
7,1.25,0.00,127.50
8,1.25,0.00,256.00
9,1.20,0.00,254.00
10,1.20,0.00,256.00
11,1.17,0.00,255.00
12,1.17,0.00,256.00
13,1.14,0.00,253.00
14,1.14,0.00,256.00
15,1.12,0.00,253.00
16,1.12,0.00,256.00
17,1.11,0.00,252.00
18,1.11,0.00,256.00
19,1.10,0.00,253.00
20,1.18,0.00,251.00
21,1.18,0.00,253.00
22,1.25,0.00,251.00
23,1.25,0.00,253.00
24,1.31,0.00,251.00
25,1.31,0.00,253.00
26,1.36,0.00,249.00
27,1.36,0.00,126.00
28,1.36,0.00,256.00
29,1.33,0.00,253.00
30,1.33,0.00,256.00
31,1.31,0.00,252.00
32,1.31,0.00,256.00
33,1.29,0.00,252.00
34,1.29,0.00,256.00
35,1.28,0.00,252.00
36,1.32,0.00,250.00
37,1.32,0.00,252.00
38,1.32,0.00,256.00
39,1.30,0.00,252.00
40,1.30,0.00,256.00
41,1.29,0.00,252.00
42,1.29,0.00,256.00
43,1.27,0.00,254.00
44,1.30,0.00,252.00
45,1.30,0.00,254.00
46,1.30,0.00,256.00
47,1.29,0.00,253.00
48,1.29,0.00,256.00
49,1.28,0.00,253.00
50,1.28,0.00,256.00
51,1.27,0.00,254.00
52,1.27,0.00,256.00
53,1.26,0.00,254.00
54,1.26,0.00,256.00
55,1.25,0.00,252.00
56,1.25,0.00,256.00
57,1.24,0.00,253.00
58,1.24,0.00,256.00
59,1.23,0.00,254.00
60,1.23,0.00,256.00
61,1.23,0.00,255.00
62,1.23,0.00,256.00
63,1.22,0.00,253.00
64,1.22,0.00,256.00
65,1.21,0.00,254.00
66,1.24,0.00,250.00
67,1.24,0.00,254.00
68,1.24,0.00,256.00
69,1.23,0.00,252.00
70,1.23,0.00,256.00
71,1.22,0.00,252.00
72,1.22,0.00,256.00
73,1.22,0.00,254.00
74,1.24,0.00,250.00
75,1.24,0.00,254.00
76,1.24,0.00,256.00
77,1.23,0.00,255.00
78,1.23,0.00,256.00
79,1.23,0.00,252.00
80,1.24,0.00,250.00
81,1.24,0.00,252.00
82,1.24,0.00,256.00
83,1.24,0.00,254.00
84,1.24,0.00,256.00
85,1.23,0.00,255.00
86,1.25,0.00,254.00
87,1.25,0.00,127.50
88,1.29,0.00,125.50
89,1.29,0.00,126.00
90,1.29,0.00,256.00
91,1.28,0.00,253.00
92,1.28,0.00,256.00
93,1.28,0.00,255.00
94,1.29,0.00,253.00
95,1.29,0.00,127.00
96,1.29,0.00,256.00
97,1.29,0.00,252.00
98,1.29,0.00,256.00
99,1.28,0.00,254.00
100,1.29,0.00,252.00
101,1.33,0.00,250.00
102,1.33,0.00,252.00
103,1.33,0.00,127.00
104,1.33,0.00,256.00
105,1.32,0.00,253.00
106,1.32,0.00,256.00
107,1.31,0.00,252.00
108,1.31,0.00,256.00
109,1.31,0.00,254.00
110,1.31,0.00,256.00
111,1.30,0.00,254.00
112,1.30,0.00,256.00
113,1.30,0.00,252.00
114,1.31,0.00,250.00
115,1.31,0.00,127.00
116,1.31,0.00,256.00
117,1.31,0.00,252.00
118,1.32,0.00,248.00
119,1.34,0.00,246.00
120,1.39,0.00,242.00
121,1.39,0.00,123.00
122,1.39,0.00,125.00
123,1.39,0.00,126.00
124,1.39,0.00,256.00
125,1.38,0.00,253.00
126,1.38,0.00,256.00
127,1.38,0.00,253.00
128,1.38,0.00,256.00
129,1.37,0.00,253.00
130,1.37,0.00,256.00
131,1.36,0.00,255.00
132,1.36,0.00,256.00
133,1.36,0.00,254.00
134,1.36,0.00,256.00
135,1.35,0.00,255.00
136,1.35,0.00,256.00
137,1.35,0.00,254.00
138,1.35,0.00,256.00
139,1.34,0.00,252.00
140,1.34,0.00,256.00
141,1.34,0.00,255.00
142,1.35,0.00,253.00
143,1.37,0.00,250.00
144,1.37,0.00,126.00
145,1.37,0.00,126.50
146,1.36,0.00,250.00
147,1.37,0.00,249.00
148,1.41,0.00,247.00
149,1.45,0.00,245.00
150,1.45,0.00,124.00
151,1.45,0.00,123.00
152,1.45,0.00,124.50
153,1.44,0.00,123.50
154,1.48,0.00,122.00
155,1.48,0.00,82.00
156,1.48,0.00,62.00
157,1.47,0.00,61.75
158,1.48,0.00,81.67
159,1.48,0.00,121.50
160,1.48,0.00,123.00
161,1.48,0.00,82.67
162,1.49,0.00,81.33
163,1.49,0.00,121.50
164,1.49,0.00,122.00
165,1.49,0.00,82.00
166,1.49,0.00,82.33
167,1.49,0.00,83.00
168,1.49,0.00,125.50
169,1.49,0.00,124.00
170,1.49,0.00,123.00
171,1.49,0.00,124.00
172,1.49,0.00,83.00
173,1.49,0.00,126.50
174,1.49,0.00,256.00
175,1.49,0.00,255.00
176,1.49,0.00,256.00
177,1.48,0.00,252.00
178,1.48,0.00,256.00
179,1.48,0.00,252.00
180,1.48,0.00,251.00
181,1.50,0.00,249.00
182,1.50,0.00,251.00
183,1.50,0.00,127.50
184,1.50,0.00,256.00
185,1.49,0.00,254.00
186,1.50,0.00,251.00
187,1.50,0.00,126.50
188,1.50,0.00,256.00
