RequestNum,AvgNodesTraversed,FailureRate,AvgExtFragSize
1,1.00,0.00,254.00
2,1.00,0.00,256.00
3,1.00,0.00,254.00
4,1.33,0.00,252.00
5,1.75,0.00,250.00
6,2.20,0.00,247.00
7,2.67,0.00,244.00
8,2.67,0.00,247.00
9,3.00,0.00,245.00
10,3.38,0.00,242.00
11,3.38,0.00,122.00
12,3.56,0.00,242.00
13,3.40,0.00,239.00
14,3.82,0.00,235.00
15,4.25,0.00,232.00
16,4.25,0.00,235.00
17,4.62,0.00,232.00
18,5.00,0.00,231.00
19,5.40,0.00,228.00
20,5.40,0.00,115.00
21,5.81,0.00,113.50
22,5.81,0.00,76.67
23,5.81,0.00,57.75
24,5.81,0.00,58.50
25,5.71,0.00,58.00
26,5.50,0.00,57.50
27,5.53,0.00,57.00
28,5.53,0.00,57.75
29,5.53,0.00,58.25
30,5.53,0.00,47.00
31,5.53,0.00,59.75
32,5.53,0.00,60.25
33,5.53,0.00,60.75
34,5.53,0.00,61.25
35,5.30,0.00,61.00
36,5.14,0.00,80.33
37,5.00,0.00,79.33
38,4.91,0.00,78.00
39,4.91,0.00,79.00
40,4.79,0.00,78.33
41,4.79,0.00,59.50
42,4.72,0.00,78.33
43,4.72,0.00,79.67
44,4.72,0.00,80.33
45,4.62,0.00,79.33
46,4.62,0.00,59.75
47,4.52,0.00,59.00
48,4.46,0.00,58.50
49,4.48,0.00,57.75
50,4.48,0.00,58.50
51,4.43,0.00,57.75
52,4.42,0.00,56.75
53,4.42,0.00,57.50
54,4.44,0.00,56.75
55,4.44,0.00,57.50
56,4.39,0.00,56.75
57,4.41,0.00,56.00
58,4.54,0.00,55.00
59,4.54,0.00,55.75
60,4.54,0.00,56.50
61,4.44,0.00,75.00
62,4.46,0.00,74.67
63,4.45,0.00,73.67
64,4.44,0.00,73.00
65,4.50,0.00,107.50
66,4.50,0.00,72.67
67,4.50,0.00,73.67
68,4.50,0.00,74.67
69,4.50,0.00,56.50
70,4.46,0.00,56.00
71,4.46,0.00,45.40
72,4.46,0.00,45.60
73,4.46,0.00,38.17
74,4.46,0.00,38.50
75,4.40,0.00,38.17
76,4.37,0.00,37.67
77,4.55,0.00,37.00
78,4.53,0.00,36.33
79,4.46,0.00,36.00
80,4.45,0.00,43.00
81,4.45,0.00,43.80
82,4.45,0.00,44.20
83,4.40,0.00,44.00
84,4.40,0.00,36.83
85,4.40,0.00,37.33
86,4.35,0.00,37.00
87,4.30,0.00,36.33
88,4.30,0.00,31.57
89,4.27,0.00,31.29
90,4.27,0.00,31.86
91,4.23,0.00,31.71
92,4.23,0.00,31.14
93,4.31,0.00,30.71
94,4.31,0.00,31.00
95,4.31,0.00,31.57
96,4.31,0.00,31.86
97,4.36,0.00,31.29
98,4.32,0.00,36.00
99,4.28,0.00,35.67
100,4.48,0.00,35.00
101,4.49,0.00,34.67
102,4.49,0.00,30.00
103,4.45,0.00,29.86
104,4.62,0.00,29.29
105,4.65,0.00,33.50
106,4.65,0.00,39.60
107,4.80,0.00,39.00
108,5.12,0.00,38.20
109,5.11,0.00,47.25
110,5.11,0.00,48.25
111,5.19,0.00,47.25
112,5.19,0.00,38.40
113,5.16,0.00,47.75
114,5.20,0.00,47.25
115,5.53,0.00,46.25
116,5.53,0.00,46.75
117,5.53,0.00,38.00
118,5.61,0.00,37.60
119,5.61,0.00,31.50
120,5.61,0.00,27.14
121,5.57,0.00,27.00
122,5.57,0.00,24.12
123,5.52,0.00,23.88
124,5.61,0.00,23.38
125,5.61,0.00,23.50
126,5.61,0.00,27.14
127,5.61,0.00,31.00
128,5.70,0.00,36.40
129,5.70,0.00,30.83
130,5.70,0.00,27.00
131,5.70,0.00,23.88
132,5.70,0.00,23.62
133,5.70,0.00,24.00
134,5.70,0.00,21.78
135,5.70,0.00,22.22
136,5.64,0.00,21.78
137,5.62,0.00,21.56
138,5.62,0.00,21.78
139,5.60,0.00,24.25
140,5.60,0.00,24.75
141,5.60,0.00,28.86
142,5.56,0.00,28.57
143,5.56,0.00,28.29
144,5.56,0.00,28.43
145,5.56,0.00,25.25
146,5.56,0.00,22.89
147,5.56,0.00,20.80
148,5.56,0.00,23.56
149,5.51,0.00,23.33
150,5.52,0.00,23.11
151,5.52,0.00,26.38
152,5.48,0.00,26.00
